id,straat,huisnr,postcode,plaats,lat,lon,soort,loper
a-0029,Ferdinand Bolstraat,134,1039 WW,Amsterdam,52.330698,4.862584,griep,
a-0030,Ferdinand Bolstraat,136,1039 WW,Amsterdam,52.330812,4.862679,pneum,
a-0031,Ferdinand Bolstraat,138,1039 WW,Amsterdam,52.331003,4.862855,pneum,
a-0032,Ferdinand Bolstraat,140,1039 WW,Amsterdam,52.331188,4.862981,griep,
a-0033,Beethovenstraat,23,1088 AE,Amsterdam,52.356153,4.971431,griep,
a-0034,Beethovenstraat,25,1088 AE,Amsterdam,52.356009,4.971463,griep,
a-0035,Beethovenstraat,27,1088 AE,Amsterdam,52.355841,4.971467,griep,
a-0036,Beethovenstraat,29hs,1088 AE,Amsterdam,52.355817,4.971509,griep,
a-0037,Beethovenstraat,31,1088 AE,Amsterdam,52.355596,4.971574,griep,
a-0038,Beethovenstraat,33,1088 AE,Amsterdam,52.3555,4.971603,pneum,
a-0039,Beethovenstraat,35,1088 AE,Amsterdam,52.355294,4.97169,griep,
a-0040,Beethovenstraat,37,1088 AE,Amsterdam,52.355203,4.971721,griep,
a-0041,Beethovenstraat,39hs,1088 AE,Amsterdam,52.355249,4.971664,griep,
a-0042,Beethovenstraat,41,1088 AE,Amsterdam,52.355091,4.971695,griep,
a-0043,Beethovenstraat,43,1088 AE,Amsterdam,52.354591,4.971863,griep,
a-0044,Beethovenstraat,45,1088 AE,Amsterdam,52.354902,4.971762,griep,
a-0045,Beethovenstraat,47,1088 AE,Amsterdam,52.354309,4.971898,griep,
a-0046,Beethovenstraat,49,1088 AE,Amsterdam,52.354286,4.971978,griep,
a-0047,Beethovenstraat,51,1088 AE,Amsterdam,52.354394,4.971868,griep,
a-0048,Beethovenstraat,53,1088 AE,Amsterdam,52.354193,4.971978,griep,
a-0049,Amstelveenseweg,34,1040 DC,Amsterdam,52.356361,4.794844,griep,
a-0050,Amstelveenseweg,36,1040 DC,Amsterdam,52.356344,4.795092,pneum,
a-0051,Amstelveenseweg,38,1040 DC,Amsterdam,52.356317,4.795264,griep,
a-0052,Amstelveenseweg,40,1040 DC,Amsterdam,52.356292,4.795453,griep,
a-0053,Amstelveenseweg,42hs,1040 DC,Amsterdam,52.356268,4.795857,pneum,
a-0054,Amstelveenseweg,44hs,1040 DC,Amsterdam,52.356306,4.795759,griep,
a-0055,Amstelveenseweg,46,1040 DC,Amsterdam,52.356271,4.796075,griep,
a-0056,Amstelveenseweg,48,1040 DC,Amsterdam,52.356265,4.796151,griep,
a-0057,Amstelveenseweg,50,1040 DC,Amsterdam,52.356228,4.796357,griep,
a-0058,Amstelveenseweg,52,1040 DC,Amsterdam,52.356248,4.796666,griep,
a-0059,Amstelveenseweg,54A,1040 DC,Amsterdam,52.356221,4.796753,griep,
a-0060,Amstelveenseweg,56,1040 DC,Amsterdam,52.356227,4.796792,griep,
a-0061,Prinsengracht,107,1066 TW,Amsterdam,52.402474,4.80405,griep,
a-0062,Prinsengracht,109,1066 TW,Amsterdam,52.402347,4.80407,griep,
a-0063,Prinsengracht,111,1066 TW,Amsterdam,52.402265,4.80421,pneum,
a-0064,Prinsengracht,113,1066 TW,Amsterdam,52.40217,4.804246,griep,
a-0065,Prinsengracht,115,1066 TW,Amsterdam,52.402065,4.80433,griep,
a-0066,Prinsengracht,117,1066 TW,Amsterdam,52.401738,4.80457,griep,
a-0067,Prinsengracht,119A,1066 TW,Amsterdam,52.401816,4.804479,pneum,
a-0068,Prinsengracht,121,1066 TW,Amsterdam,52.401446,4.804787,pneum,
a-0069,Prinsengracht,123A,1066 TW,Amsterdam,52.401556,4.804685,griep,
a-0070,Prinsengracht,125,1066 TW,Amsterdam,52.401463,4.804785,griep,
a-0071,Prinsengracht,127,1066 TW,Amsterdam,52.401447,4.804812,griep,
a-0072,Hoofddorpweg,85,1085 VE,Amsterdam,52.302858,4.847222,griep,
a-0073,Hoofddorpweg,87,1085 VE,Amsterdam,52.303002,4.847273,griep,
a-0074,Hoofddorpweg,89,1085 VE,Amsterdam,52.303088,4.847259,griep,
a-0075,Hoofddorpweg,91,1085 VE,Amsterdam,52.303248,4.847299,pneum,
a-0076,Hoofddorpweg,93,1085 VE,Amsterdam,52.303447,4.847346,griep,
a-0077,Hoofddorpweg,95,1085 VE,Amsterdam,52.303578,4.847349,pneum,
a-0078,Hoofddorpweg,97B,1085 VE,Amsterdam,52.303704,4.847434,griep,
a-0079,Hoofddorpweg,99,1085 VE,Amsterdam,52.303648,4.847358,griep,
a-0080,Hoofddorpweg,101,1085 VE,Amsterdam,52.303983,4.847431,griep,
a-0081,Hoofddorpweg,103,1085 VE,Amsterdam,52.304207,4.847465,griep,
a-0082,Hoofddorpweg,105,1085 VE,Amsterdam,52.304279,4.847538,griep,
a-0083,Hoofddorpweg,107,1085 VE,Amsterdam,52.304078,4.847484,griep,
a-0084,Hoofddorpweg,109,1085 VE,Amsterdam,52.304621,4.847518,griep,
a-0085,Hoofddorpweg,111,1085 VE,Amsterdam,52.304584,4.847537,griep,
a-0086,Van Ostadestraat,73,1094 LZ,Amsterdam,52.322054,4.911777,pneum,
a-0087,Van Ostadestraat,75,1094 LZ,Amsterdam,52.322159,4.911706,griep,
a-0088,Van Ostadestraat,77,1094 LZ,Amsterdam,52.322269,4.91158,pneum,
a-0089,Van Ostadestraat,79-2,1094 LZ,Amsterdam,52.322417,4.911459,griep,
a-0090,Van Ostadestraat,81,1094 LZ,Amsterdam,52.322506,4.911325,griep,
a-0091,Van Ostadestraat,83,1094 LZ,Amsterdam,52.322593,4.911306,griep,
a-0092,Van Ostadestraat,85,1094 LZ,Amsterdam,52.32279,4.911132,pneum,
a-0093,Van Ostadestraat,87,1094 LZ,Amsterdam,52.322746,4.911104,pneum,
a-0094,Van Ostadestraat,89,1094 LZ,Amsterdam,52.323076,4.910859,griep,
a-0095,Van Ostadestraat,91,1094 LZ,Amsterdam,52.322922,4.911024,griep,
a-0096,Van Ostadestraat,93,1094 LZ,Amsterdam,52.323143,4.910806,griep,
a-0097,Van Ostadestraat,95,1094 LZ,Amsterdam,52.323533,4.91046,pneum,
a-0098,Van Ostadestraat,97,1094 LZ,Amsterdam,52.323236,4.91064,pneum,
a-0099,Van Ostadestraat,99,1094 LZ,Amsterdam,52.323454,4.910495,pneum,
a-0100,Van Ostadestraat,101,1094 LZ,Amsterdam,52.323758,4.910215,griep,
a-0101,Van Ostadestraat,103,1094 LZ,Amsterdam,52.323506,4.910475,griep,
a-0102,Van Ostadestraat,105,1094 LZ,Amsterdam,52.324265,4.909759,griep,
a-0103,Van Ostadestraat,107,1094 LZ,Amsterdam,52.323804,4.910172,pneum,
a-0104,Pretoriusstraat,93,1081 WH,Amsterdam,52.383589,4.868196,griep,
a-0105,Pretoriusstraat,95,1081 WH,Amsterdam,52.383506,4.868326,pneum,
a-0106,Pretoriusstraat,97,1081 WH,Amsterdam,52.383367,4.868469,griep,
a-0107,Pretoriusstraat,99,1081 WH,Amsterdam,52.383325,4.868608,griep,
a-0108,Pretoriusstraat,101,1081 WH,Amsterdam,52.383232,4.86873,griep,
a-0109,Pretoriusstraat,103,1081 WH,Amsterdam,52.383055,4.868972,pneum,
a-0110,Pretoriusstraat,105,1081 WH,Amsterdam,52.38299,4.869126,griep,
a-0111,Pretoriusstraat,107,1081 WH,Amsterdam,52.38293,4.869238,griep,
a-0112,Pretoriusstraat,109,1081 WH,Amsterdam,52.38279,4.86944,pneum,
a-0113,Pretoriusstraat,111,1081 WH,Amsterdam,52.382802,4.869382,griep,
a-0114,Pretoriusstraat,113,1081 WH,Amsterdam,52.38252,4.869873,griep,
a-0115,Pretoriusstraat,115,1081 WH,Amsterdam,52.382533,4.869897,griep,
a-0116,Pretoriusstraat,117,1081 WH,Amsterdam,52.382432,4.870091,griep,
a-0117,Pretoriusstraat,119,1081 WH,Amsterdam,52.38214,4.870524,griep,
a-0118,Pretoriusstraat,121,1081 WH,Amsterdam,52.382357,4.870219,griep,
a-0119,Pretoriusstraat,123,1081 WH,Amsterdam,52.382203,4.870467,pneum,
a-0120,Pretoriusstraat,125,1081 WH,Amsterdam,52.382045,4.870641,pneum,
a-0121,Pretoriusstraat,127,1081 WH,Amsterdam,52.381941,4.870863,griep,
a-0122,Pretoriusstraat,129,1081 WH,Amsterdam,52.382041,4.870658,griep,
a-0123,Pretoriusstraat,131,1081 WH,Amsterdam,52.381544,4.871549,pneum,
a-0124,Haarlemmerdijk,83,1040 XB,Amsterdam,52.360629,4.789477,griep,
a-0125,Haarlemmerdijk,85-2,1040 XB,Amsterdam,52.360498,4.789503,griep,
a-0126,Haarlemmerdijk,87,1040 XB,Amsterdam,52.36035,4.789519,griep,
a-0127,Haarlemmerdijk,89,1040 XB,Amsterdam,52.360303,4.789527,pneum,
a-0128,Haarlemmerdijk,91,1040 XB,Amsterdam,52.36007,4.789658,griep,
a-0129,Haarlemmerdijk,93,1040 XB,Amsterdam,52.360036,4.789677,griep,
a-0130,Haarlemmerdijk,95,1040 XB,Amsterdam,52.359983,4.789653,griep,
a-0131,Haarlemmerdijk,97,1040 XB,Amsterdam,52.359792,4.789732,griep,
a-0132,Haarlemmerdijk,99,1040 XB,Amsterdam,52.359763,4.789712,griep,
a-0133,Sixhavenweg,26,1019 HT,Amsterdam,52.301147,4.84462,griep,
a-0134,Sixhavenweg,28,1019 HT,Amsterdam,52.301008,4.844719,griep,
a-0135,Sixhavenweg,30,1019 HT,Amsterdam,52.300934,4.844794,griep,
a-0136,Sixhavenweg,32,1019 HT,Amsterdam,52.300733,4.84501,griep,
a-0137,Sixhavenweg,34hs,1019 HT,Amsterdam,52.300597,4.845161,griep,
a-0138,Sixhavenweg,36,1019 HT,Amsterdam,52.300598,4.84522,griep,
a-0139,Sixhavenweg,38,1019 HT,Amsterdam,52.300572,4.845192,griep,
a-0140,Sixhavenweg,40,1019 HT,Amsterdam,52.300349,4.845472,griep,
a-0141,Sixhavenweg,42,1019 HT,Amsterdam,52.30014,4.845759,griep,
a-0142,Sixhavenweg,44,1019 HT,Amsterdam,52.300291,4.845494,pneum,
a-0143,Sixhavenweg,46,1019 HT,Amsterdam,52.300004,4.845887,griep,
a-0144,Baarsjesweg,70,1071 HN,Amsterdam,52.390148,4.875255,pneum,
a-0145,Baarsjesweg,72,1071 HN,Amsterdam,52.390192,4.87542,griep,
a-0146,Baarsjesweg,74hs,1071 HN,Amsterdam,52.390206,4.875603,griep,
a-0147,Baarsjesweg,76,1071 HN,Amsterdam,52.390319,4.87593,griep,
a-0148,Baarsjesweg,78,1071 HN,Amsterdam,52.390363,4.876239,griep,
a-0149,Baarsjesweg,80B,1071 HN,Amsterdam,52.390342,4.876227,pneum,
a-0150,Baarsjesweg,82hs,1071 HN,Amsterdam,52.390445,4.876564,griep,
a-0151,Baarsjesweg,84,1071 HN,Amsterdam,52.390474,4.876847,griep,
a-0152,Baarsjesweg,86,1071 HN,Amsterdam,52.390562,4.877199,griep,
a-0153,Baarsjesweg,88,1071 HN,Amsterdam,52.390482,4.876756,griep,
a-0154,Baarsjesweg,90,1071 HN,Amsterdam,52.390503,4.877064,griep,
a-0155,Baarsjesweg,92,1071 HN,Amsterdam,52.390671,4.87782,griep,
a-0156,Dapperstraat,21,1081 WM,Amsterdam,52.327426,4.794931,griep,
a-0157,Dapperstraat,23,1081 WM,Amsterdam,52.327408,4.795125,griep,
a-0158,Dapperstraat,25,1081 WM,Amsterdam,52.327448,4.795365,griep,
a-0159,Dapperstraat,27,1081 WM,Amsterdam,52.32751,4.795625,griep,
a-0160,Dapperstraat,29,1081 WM,Amsterdam,52.327521,4.795663,griep,
a-0161,Dapperstraat,31,1081 WM,Amsterdam,52.327554,4.795956,griep,
a-0162,Dapperstraat,33,1081 WM,Amsterdam,52.327541,4.796105,griep,
a-0163,Dapperstraat,35,1081 WM,Amsterdam,52.327586,4.796343,griep,
a-0164,Dapperstraat,37,1081 WM,Amsterdam,52.327625,4.796471,pneum,
a-0165,Dapperstraat,39,1081 WM,Amsterdam,52.32762,4.796569,pneum,
a-0166,Olympiaweg,106,1017 HZ,Amsterdam,52.34123,4.972273,pneum,
a-0167,Olympiaweg,108,1017 HZ,Amsterdam,52.341357,4.972355,pneum,
a-0168,Olympiaweg,110,1017 HZ,Amsterdam,52.341454,4.972342,griep,
a-0169,Olympiaweg,112,1017 HZ,Amsterdam,52.341606,4.97241,griep,
a-0170,Olympiaweg,114,1017 HZ,Amsterdam,52.341785,4.972396,griep,
a-0171,Olympiaweg,116,1017 HZ,Amsterdam,52.341852,4.972406,griep,
a-0172,Olympiaweg,118,1017 HZ,Amsterdam,52.341937,4.97241,griep,
a-0173,Olympiaweg,120,1017 HZ,Amsterdam,52.342015,4.972459,griep,
a-0174,Olympiaweg,122,1017 HZ,Amsterdam,52.342122,4.972499,griep,
a-0175,Olympiaweg,124,1017 HZ,Amsterdam,52.342327,4.972522,griep,
a-0176,Olympiaweg,126,1017 HZ,Amsterdam,52.342602,4.972567,pneum,
a-0177,Olympiaweg,128,1017 HZ,Amsterdam,52.342993,4.972635,griep,
a-0178,Olympiaweg,130,1017 HZ,Amsterdam,52.342642,4.972605,griep,
a-0179,Olympiaweg,132,1017 HZ,Amsterdam,52.343192,4.972666,griep,
a-0180,Olympiaweg,134,1017 HZ,Amsterdam,52.342847,4.97264,griep,
a-0181,Olympiaweg,136,1017 HZ,Amsterdam,52.343564,4.97276,griep,
a-0182,Olympiaweg,138,1017 HZ,Amsterdam,52.343373,4.972721,griep,
a-0183,Olympiaweg,140,1017 HZ,Amsterdam,52.34389,4.972816,pneum,
a-0184,Olympiaweg,142,1017 HZ,Amsterdam,52.344087,4.972843,pneum,
a-0185,Olympiaweg,144B,1017 HZ,Amsterdam,52.344257,4.972848,griep,
a-0186,Olympiaweg,146,1017 HZ,Amsterdam,52.344341,4.97285,griep,
a-0187,Olympiaweg,148,1017 HZ,Amsterdam,52.344361,4.972889,pneum,
a-0188,Egelantiersgracht,46,1077 GP,Amsterdam,52.352034,4.904295,pneum,
a-0189,Egelantiersgracht,48,1077 GP,Amsterdam,52.352078,4.904462,griep,
a-0190,Egelantiersgracht,50,1077 GP,Amsterdam,52.352106,4.904782,griep,
a-0191,Egelantiersgracht,52,1077 GP,Amsterdam,52.352147,4.904965,griep,
a-0192,Egelantiersgracht,54,1077 GP,Amsterdam,52.35219,4.905113,griep,
a-0193,Egelantiersgracht,56,1077 GP,Amsterdam,52.352194,4.905149,griep,
a-0194,Egelantiersgracht,58,1077 GP,Amsterdam,52.352293,4.905696,griep,
a-0195,Egelantiersgracht,60,1077 GP,Amsterdam,52.352268,4.905774,griep,
a-0196,Egelantiersgracht,62,1077 GP,Amsterdam,52.352277,4.905717,griep,
a-0197,Egelantiersgracht,64,1077 GP,Amsterdam,52.352356,4.906321,griep,
a-0198,Egelantiersgracht,66,1077 GP,Amsterdam,52.352374,4.90644,griep,
a-0199,Egelantiersgracht,68,1077 GP,Amsterdam,52.352481,4.907064,pneum,
a-0200,Egelantiersgracht,70,1077 GP,Amsterdam,52.352521,4.907076,pneum,
a-0201,Egelantiersgracht,72,1077 GP,Amsterdam,52.352523,4.90704,griep,
a-0202,Egelantiersgracht,74A,1077 GP,Amsterdam,52.352614,4.907607,griep,
a-0203,Egelantiersgracht,76,1077 GP,Amsterdam,52.352509,4.907173,pneum,
a-0204,Egelantiersgracht,78,1077 GP,Amsterdam,52.352583,4.907645,griep,
a-0205,Egelantiersgracht,80,1077 GP,Amsterdam,52.352668,4.908042,griep,
a-0206,Egelantiersgracht,82,1077 GP,Amsterdam,52.352594,4.907665,griep,
a-0207,Egelantiersgracht,84,1077 GP,Amsterdam,52.352658,4.908062,griep,
a-0208,Egelantiersgracht,86,1077 GP,Amsterdam,52.352796,4.909018,pneum,
a-0209,Plantage Muidergracht,81,1024 KW,Amsterdam,52.361035,4.907496,griep,
a-0210,Plantage Muidergracht,83,1024 KW,Amsterdam,52.360926,4.907615,griep,
a-0211,Plantage Muidergracht,85,1024 KW,Amsterdam,52.360869,4.90778,griep,
a-0212,Plantage Muidergracht,87,1024 KW,Amsterdam,52.360744,4.907963,pneum,
a-0213,Plantage Muidergracht,89,1024 KW,Amsterdam,52.360617,4.90827,griep,
a-0214,Plantage Muidergracht,91,1024 KW,Amsterdam,52.360614,4.908194,griep,
a-0215,Plantage Muidergracht,93,1024 KW,Amsterdam,52.360493,4.908381,griep,
a-0216,Plantage Muidergracht,95,1024 KW,Amsterdam,52.360489,4.90839,griep,
a-0217,Plantage Muidergracht,97,1024 KW,Amsterdam,52.360295,4.908801,griep,
a-0218,Plantage Muidergracht,99,1024 KW,Amsterdam,52.360324,4.908727,griep,
a-0219,Plantage Muidergracht,101,1024 KW,Amsterdam,52.360307,4.908815,griep,
a-0220,Plantage Muidergracht,103,1024 KW,Amsterdam,52.360188,4.908943,griep,
a-0221,Plantage Muidergracht,105B,1024 KW,Amsterdam,52.359821,4.909712,pneum,
a-0222,Plantage Muidergracht,107,1024 KW,Amsterdam,52.359806,4.909689,griep,
a-0223,Plantage Muidergracht,109hs,1024 KW,Amsterdam,52.359747,4.90974,griep,
a-0224,Hoogte Kadijk,71,1024 AZ,Amsterdam,52.32066,4.815559,griep,
a-0225,Hoogte Kadijk,73,1024 AZ,Amsterdam,52.320606,4.815778,griep,
a-0226,Hoogte Kadijk,75,1024 AZ,Amsterdam,52.320511,4.815929,pneum,
a-0227,Hoogte Kadijk,77,1024 AZ,Amsterdam,52.320441,4.816185,griep,
a-0228,Hoogte Kadijk,79-3,1024 AZ,Amsterdam,52.320416,4.816323,griep,
a-0229,Hoogte Kadijk,81,1024 AZ,Amsterdam,52.32034,4.816389,griep,
a-0230,Hoogte Kadijk,83,1024 AZ,Amsterdam,52.320288,4.816635,pneum,
a-0231,Hoogte Kadijk,85,1024 AZ,Amsterdam,52.320124,4.816985,griep,
a-0232,Hoogte Kadijk,87,1024 AZ,Amsterdam,52.320042,4.817246,griep,
a-0233,Hoogte Kadijk,89,1024 AZ,Amsterdam,52.319904,4.81756,griep,
a-0234,Hoogte Kadijk,91,1024 AZ,Amsterdam,52.32002,4.817255,pneum,
a-0235,Hoogte Kadijk,93,1024 AZ,Amsterdam,52.319809,4.817829,griep,
a-0236,Hoogte Kadijk,95,1024 AZ,Amsterdam,52.31993,4.817606,griep,
a-0237,Hoogte Kadijk,97,1024 AZ,Amsterdam,52.319712,4.818193,pneum,
a-0238,Orteliusstraat,102hs,1040 XL,Amsterdam,52.301103,4.786594,griep,
a-0239,Orteliusstraat,104,1040 XL,Amsterdam,52.301046,4.786754,griep,
a-0240,Orteliusstraat,106B,1040 XL,Amsterdam,52.301009,4.786943,griep,
a-0241,Orteliusstraat,108B,1040 XL,Amsterdam,52.300984,4.7871,griep,
a-0242,Orteliusstraat,110,1040 XL,Amsterdam,52.30099,4.787348,griep,
a-0243,Orteliusstraat,112,1040 XL,Amsterdam,52.300897,4.787818,griep,
a-0244,Orteliusstraat,114B,1040 XL,Amsterdam,52.300882,4.787726,griep,
a-0245,Orteliusstraat,116,1040 XL,Amsterdam,52.300818,4.788227,griep,
a-0246,Orteliusstraat,118,1040 XL,Amsterdam,52.300774,4.788488,griep,
a-0247,Orteliusstraat,120,1040 XL,Amsterdam,52.300788,4.788312,griep,
a-0248,Orteliusstraat,122,1040 XL,Amsterdam,52.300709,4.78894,griep,
a-0249,Orteliusstraat,124,1040 XL,Amsterdam,52.300682,4.788894,griep,
a-0250,Orteliusstraat,126-2,1040 XL,Amsterdam,52.300737,4.788657,griep,
a-0251,Orteliusstraat,128,1040 XL,Amsterdam,52.300594,4.78938,griep,
a-0252,Orteliusstraat,130hs,1040 XL,Amsterdam,52.300495,4.789929,griep,
a-0253,Orteliusstraat,132,1040 XL,Amsterdam,52.300463,4.790077,griep,
a-0254,Orteliusstraat,134,1040 XL,Amsterdam,52.300475,4.790254,griep,
a-0255,Orteliusstraat,136,1040 XL,Amsterdam,52.300353,4.790852,griep,
a-0256,Orteliusstraat,138,1040 XL,Amsterdam,52.300369,4.790896,griep,
a-0257,Oudezijds Achterburgwal,46,1082 DM,Amsterdam,52.384159,4.887882,griep,
a-0258,Oudezijds Achterburgwal,48,1082 DM,Amsterdam,52.384136,4.888094,griep,
a-0259,Oudezijds Achterburgwal,50,1082 DM,Amsterdam,52.384123,4.888308,pneum,
a-0260,Oudezijds Achterburgwal,52,1082 DM,Amsterdam,52.384136,4.888578,griep,
a-0261,Oudezijds Achterburgwal,54B,1082 DM,Amsterdam,52.384109,4.888829,griep,
a-0262,Oudezijds Achterburgwal,56,1082 DM,Amsterdam,52.384122,4.888832,griep,
a-0263,Oudezijds Achterburgwal,58,1082 DM,Amsterdam,52.384093,4.889027,griep,
a-0264,Oudezijds Achterburgwal,60,1082 DM,Amsterdam,52.384089,4.889192,griep,
a-0265,Oudezijds Achterburgwal,62,1082 DM,Amsterdam,52.384072,4.889425,pneum,
a-0266,Oudezijds Achterburgwal,64,1082 DM,Amsterdam,52.384059,4.889588,griep,
a-0267,Oudezijds Achterburgwal,66,1082 DM,Amsterdam,52.384042,4.890102,griep,
a-0268,Oudezijds Achterburgwal,68-3,1082 DM,Amsterdam,52.384049,4.890766,griep,
a-0269,Oudezijds Achterburgwal,70,1082 DM,Amsterdam,52.384076,4.890405,griep,
a-0270,Oudezijds Achterburgwal,72,1082 DM,Amsterdam,52.384024,4.890669,griep,
a-0271,Oudezijds Achterburgwal,74A,1082 DM,Amsterdam,52.384037,4.890603,pneum,
a-0272,Oudezijds Achterburgwal,76,1082 DM,Amsterdam,52.384011,4.891101,griep,
a-0273,Oudezijds Achterburgwal,78,1082 DM,Amsterdam,52.384025,4.890731,griep,
a-0274,Oudezijds Achterburgwal,80,1082 DM,Amsterdam,52.38404,4.891242,griep,
a-0275,Piet Heinkade,87,1093 XJ,Amsterdam,52.346394,4.830686,griep,
a-0276,Piet Heinkade,89,1093 XJ,Amsterdam,52.346243,4.830711,griep,
a-0277,Piet Heinkade,91,1093 XJ,Amsterdam,52.346105,4.830606,griep,
a-0278,Piet Heinkade,93,1093 XJ,Amsterdam,52.346065,4.830657,griep,
a-0279,Piet Heinkade,95,1093 XJ,Amsterdam,52.345776,4.830577,griep,
a-0280,Piet Heinkade,97-2,1093 XJ,Amsterdam,52.345635,4.830537,griep,
a-0281,Piet Heinkade,99,1093 XJ,Amsterdam,52.345699,4.830544,griep,
a-0282,Piet Heinkade,101,1093 XJ,Amsterdam,52.345609,4.8305,griep,
a-0283,Piet Heinkade,103,1093 XJ,Amsterdam,52.345322,4.830423,griep,
a-0284,Piet Heinkade,105,1093 XJ,Amsterdam,52.345234,4.830425,griep,
a-0285,Piet Heinkade,107,1093 XJ,Amsterdam,52.345118,4.830375,pneum,
a-0286,Piet Heinkade,109,1093 XJ,Amsterdam,52.345019,4.830283,griep,
a-0287,Piet Heinkade,111,1093 XJ,Amsterdam,52.345108,4.830341,griep,
a-0288,Piet Heinkade,113,1093 XJ,Amsterdam,52.344769,4.83023,griep,
a-0289,Piet Heinkade,115,1093 XJ,Amsterdam,52.344205,4.83009,pneum,
a-0290,Piet Heinkade,117,1093 XJ,Amsterdam,52.344488,4.830144,griep,
a-0291,Piet Heinkade,119,1093 XJ,Amsterdam,52.344003,4.830041,griep,
a-0292,Piet Heinkade,121,1093 XJ,Amsterdam,52.344377,4.830179,griep,
a-0293,Oostzaanstraat,46,1081 ET,Amsterdam,52.387228,4.871061,griep,
a-0294,Oostzaanstraat,48,1081 ET,Amsterdam,52.387248,4.871325,pneum,
a-0295,Oostzaanstraat,50,1081 ET,Amsterdam,52.387227,4.871556,griep,
a-0296,Oostzaanstraat,52-2,1081 ET,Amsterdam,52.387239,4.87172,griep,
a-0297,Oostzaanstraat,54-3,1081 ET,Amsterdam,52.387224,4.871875,pneum,
a-0298,Oostzaanstraat,56,1081 ET,Amsterdam,52.387204,4.87229,griep,
a-0299,Oostzaanstraat,58,1081 ET,Amsterdam,52.3872,4.872128,griep,
a-0300,Oostzaanstraat,60,1081 ET,Amsterdam,52.3872,4.872451,griep,
a-0301,Oostzaanstraat,62,1081 ET,Amsterdam,52.387205,4.873022,pneum,
a-0302,Oostzaanstraat,64,1081 ET,Amsterdam,52.387191,4.873279,griep,
a-0303,Oostzaanstraat,66,1081 ET,Amsterdam,52.387215,4.873518,griep,
a-0304,Oostzaanstraat,68,1081 ET,Amsterdam,52.387185,4.873818,griep,
a-0305,Oostzaanstraat,70,1081 ET,Amsterdam,52.387196,4.873967,griep,
a-0306,Oostzaanstraat,72,1081 ET,Amsterdam,52.387189,4.87366,griep,
a-0307,Oostzaanstraat,74,1081 ET,Amsterdam,52.387203,4.873606,griep,
a-0308,Oostzaanstraat,76,1081 ET,Amsterdam,52.387195,4.87437,griep,
a-0309,Oostzaanstraat,78,1081 ET,Amsterdam,52.387181,4.875074,griep,
a-0310,Oostzaanstraat,80,1081 ET,Amsterdam,52.387172,4.875325,pneum,
a-0311,Oostzaanstraat,82,1081 ET,Amsterdam,52.387201,4.87436,griep,
